GNU vs NODOTS BATCH SIMULATION
===============================
Started: 2025-07-14T23:20:44.951Z
Total Games: 1000
GNU Bot: GNU AI
Nodots Bot: Nodots Heuristic AI
Log Directory: /Users/kenr/Code/nodots-backgammon/core/game-logs/batch-2025-07-14T23-20-44-951Z

Game 268: O | GNU | clockwise > (34 turns, 60/54 moves, 0.01s)
Game 269: X | NODOTS | counterclockwise > (37 turns, 58/64 moves, 0.01s)
Game 270: O | GNU | clockwise > (39 turns, 67/56 moves, 0.01s)
Game 271: O | GNU | clockwise > (43 turns, 71/66 moves, 0.02s)
Game 272: O | GNU | clockwise > (38 turns, 60/60 moves, 0.01s)
Game 273: X | NODOTS | counterclockwise > (29 turns, 48/56 moves, 0.01s)
Game 274: O | GNU | clockwise > (35 turns, 59/48 moves, 0.02s)
Game 275: O | GNU | clockwise > (37 turns, 64/58 moves, 0.01s)
Game 276: O | GNU | clockwise > (40 turns, 63/56 moves, 0.02s)
Game 277: O | GNU | clockwise > (37 turns, 60/53 moves, 0.01s)
Game 278: O | GNU | clockwise > (39 turns, 65/62 moves, 0.02s)
Game 279: O | GNU | clockwise > (37 turns, 62/60 moves, 0.01s)
Game 280: O | GNU | clockwise > (35 turns, 59/52 moves, 0.01s)
Game 281: O | GNU | clockwise > (34 turns, 61/61 moves, 0.01s)
Game 282: X | NODOTS | counterclockwise > (32 turns, 52/52 moves, 0.01s)
Game 283: O | GNU | clockwise > (38 turns, 60/61 moves, 0.01s)
Game 284: O | GNU | clockwise > (43 turns, 67/66 moves, 0.01s)
Game 285: X | NODOTS | counterclockwise > (31 turns, 45/54 moves, 0.01s)
Game 286: X | NODOTS | counterclockwise > (37 turns, 62/60 moves, 0.01s)
Game 287: O | GNU | clockwise > (41 turns, 68/65 moves, 0.01s)
Game 288: X | NODOTS | counterclockwise > (33 turns, 52/56 moves, 0.01s)
Game 289: O | GNU | clockwise > (32 turns, 58/49 moves, 0.01s)
